No.,latitude,longitude
2078,44.96041,-93.04157
2079,,
2080,,
2081,44.90266,-93.17501
2082,,
2083,,
2084,,
2085,,
2086,44.97672,-93.0759
2087,,
2088,44.95845,-93.12881
2089,44.92351,-93.08499
2090,44.9704,-93.06286
2091,44.96631,-93.04709
2092,,
2093,44.96018,-93.13587
2094,44.95396,-93.059
2095,44.97467,-93.0942
2096,44.96816,-93.01827
2097,44.97985,-93.11216
2098,,
2099,44.95415,-93.05088
2100,44.96798,-93.02089
2101,44.96074,-93.14623
2102,44.9497,-93.03504
2103,44.97906,-93.02056
2104,44.92417,-93.07044
2105,,
2106,44.99022,-93.12771
2107,,
2108,44.96607,-93.00811
2109,44.96313,-93.00541
2110,44.98661,-93.08336
2111,44.95576,-93.05976
2112,44.94783,-93.03335
2113,44.98165,-93.11767
2114,44.97403,-93.02899
2115,44.92933,-93.07282
2116,44.98539,-93.01985
2117,44.92477,-93.08625
2118,44.98407,-93.16662
2119,44.95412,-93.06229
2120,44.96324,-93.14391
2121,44.95944,-93.14047
2122,44.92484,-93.13503
2123,44.99177,-93.01455
2124,44.93791,-93.15428
2125,44.96125,-93.00504
2126,44.95873,-93.01915
2127,44.97864,-93.024
2128,44.95403,-93.1696
2129,44.97501,-93.01172
2130,44.95144,-93.09396
2131,44.96662,-93.15848
2132,44.92398,-93.13517
2133,44.96125,-93.00504
2134,44.98293,-93.06665
2135,44.9502,-93.0524
2136,44.97467,-93.0942
2137,44.95008,-93.09574
2138,44.96498,-93.15362
2139,44.94577,-93.03131
2140,44.97814,-93.11241
2141,44.92187,-93.09672
2142,44.96296,-93.05532
2143,44.92734,-93.10305
2144,44.95109,-93.04536
2145,44.95937,-93.14929
2146,44.95123,-93.12124
2147,44.92346,-93.09964
2148,44.99126,-93.07379
2149,44.98284,-93.03812
2150,44.97817,-93.01564
2151,44.98086,-93.02133
2152,,
2153,44.95328,-93.06398
2154,44.94132,-93.12545
2155,44.95025,-93.05866
2156,44.95029,-93.03131
2157,44.9801,-93.08018
2158,44.95776,-93.02813
2159,44.96395,-93.00424
2160,44.92647,-93.09075
2161,44.96457,-93.0978
2162,44.95485,-93.037
2163,44.96213,-93.02879
2164,44.96096,-93.11681
2165,44.98648,-93.07363
2166,,
2167,44.95851,-93.1273
2168,44.98843,-93.03059
2169,44.99119,-93.03895
2170,44.91908,-93.08789
2171,44.9548,-93.00748
2172,44.92783,-93.09682
2173,44.98635,-93.01802
2174,44.92109,-93.07376
2175,44.96034,-93.00504
2176,44.96889,-93.07865
2177,44.98707,-93.08262
2178,44.98631,-93.0223
2179,44.95768,-93.03748
2180,44.99025,-93.1038
2181,44.97026,-93.1302
2182,44.94987,-93.04483
2183,44.9769,-93.00725
2184,44.99325,-93.12344
2185,44.97862,-93.02418
2186,44.97998,-93.16386
2187,44.94861,-93.1268
2188,44.97461,-93.02643
2189,44.96018,-93.13786
2190,44.95654,-93.02091
2191,44.98303,-93.10727
2192,44.95944,-93.00504
2193,44.98264,-93.11284
2194,44.98438,-93.13328
2195,44.98497,-93.10726
2196,44.96596,-93.19518
2197,44.97488,-93.1137
2198,44.97531,-93.08502
2199,44.94186,-93.10617
2200,44.93395,-93.11472
2201,44.96138,-93.15556
2202,44.97303,-93.01317
2203,44.99033,-93.07256
2204,44.96265,-93.04824
2205,44.96093,-93.15781
2206,44.92699,-93.14111
2207,44.9506,-93.09328
2208,44.95108,-93.05502
2209,44.97819,-93.06167
2210,44.96013,-93.16008
2211,44.98718,-93.02292
2212,44.92822,-93.09079
2213,44.98183,-93.06526
2214,44.95063,-93.08758
2215,44.94496,-93.095
2216,44.96612,-93.2071
2217,44.98134,-93.01158
2218,44.99034,-93.02826
2219,44.96034,-93.00504
2220,44.96955,-93.01294
2221,44.92245,-93.13811
2222,44.98911,-93.15631
2223,44.90264,-93.16675
2224,44.97326,-93.1428
2225,44.9506,-93.09328
2226,44.90055,-93.17563
2227,44.96043,-93.01267
2228,44.9701,-93.01075
2229,44.97643,-93.05391
2230,44.9593,-93.02099
2231,44.9454,-93.01672
2232,44.98641,-93.0718
2233,44.98907,-93.08118
2234,44.97855,-93.00693
2235,44.97855,-93.00845
2236,44.98737,-93.03312
2237,44.97305,-93.11241
2238,44.94025,-93.13167
2239,44.95745,-93.15388
2240,44.92623,-93.09477
2241,44.9666,-93.12244
2242,44.98848,-93.04231
2243,44.98729,-93.08372
2244,44.92275,-93.08479
2245,44.97228,-93.14277
2246,44.92182,-93.10171
2247,44.9692,-93.01591
2248,44.94862,-93.05283
2249,44.92647,-93.09475
2250,44.98998,-93.14682
2251,44.97774,-93.00728
2252,44.92864,-93.02083
2253,44.95709,-93.11071
2254,44.96276,-93.15632
2255,44.96024,-93.16629
2256,44.95964,-93.1651
2257,44.96889,-93.07865
2258,44.96287,-93.01849
2259,44.98836,-93.13707
2260,44.94496,-93.095
2261,44.97236,-93.14283
2262,44.96406,-93.16699
2263,44.95875,-93.01869
2264,44.98787,-93.04298
2265,44.95323,-93.13435
2266,44.98354,-93.07192
2267,44.97401,-93.09799
2268,44.98991,-93.14975
2269,44.97261,-93.08126
2270,44.98764,-93.01875
